ticker,company,market_cap_usd,area,nct_id,title,status,start_date,primary_completion,enrollment,conditions,interventions,url
PVLA,"PALVELLA THERAPEUTICS, INC.",2064083450.4935303,Oncology,NCT06239480,SELVA: A Phase 3 Study Evaluating QTORIN 3.9% Rapamycin Anhydrous Gel in the Treatment of Microcystic Lymphatic Malformations,ACTIVE_NOT_RECRUITING,2024-07-31,2026-01-14,51,Microcystic Lymphatic Malformation,QTORIN 3.9% Rapamycin Anhydrous Gel,https://clinicaltrials.gov/study/NCT06239480
NVCR,NovoCure Ltd,2065749174.9476624,Oncology,NCT06556563,EF-41/KEYNOTE D58: Phase 3 Study of Optune Concomitant With Temozolomide Plus Pembrolizumab in Newly Diagnosed Glioblastoma,RECRUITING,2025-02-03,2029-04,741,Glioblastoma,Optune® device; Temozolomide; Pembrolizumab; Placebo,https://clinicaltrials.gov/study/NCT06556563
NVCR,NovoCure Ltd,2065749174.9476624,Oncology,NCT06216301,LUNAR-2: TTFields With Pembrolizumab + Platinum-based Chemotherapy for Metastatic NSCLC,RECRUITING,2024-07-31,2028-10,734,Metastatic Non-small Cell Lung Cancer,NovoTTF-200T; Pembrolizumab; Platinum based chemotherapy,https://clinicaltrials.gov/study/NCT06216301
GENB,"Generate Biomedicines, Inc.",2074817245.4501648,Allergy,NCT07359846,A Study to Investigate GB-0895 Adjunctive Therapy in Adults and Adolescents With Severe Uncontrolled Asthma (SOLAIRIA-2),RECRUITING,2026-01-20,2029-01,786,Severe Asthma,GB-0895; Placebo,https://clinicaltrials.gov/study/NCT07359846
GENB,"Generate Biomedicines, Inc.",2074817245.4501648,Allergy,NCT07276724,A Study to Investigate GB-0895 Adjunctive Therapy in Adults and Adolescents With Severe Uncontrolled Asthma (SOLAIRIA-1),RECRUITING,2025-12-03,2028-12,786,Severe Asthma,GB-0895; Placebo,https://clinicaltrials.gov/study/NCT07276724
HCM,HUTCHMED (China) Ltd,2193534780.268547,Oncology,NCT07409428,A Phase III Study of HMPL-760 Plus R-GemOx VS Placebo Plus R-GemOx in Relapsed/Refractory DLBCL,RECRUITING,2026-03-20,2028-04-30,240,Relapsed/Refractory Diffuse Large B-Cell Lymphoma,HMPL-760; HMPL-760 Placebo; R-GemOx,https://clinicaltrials.gov/study/NCT07409428
HCM,HUTCHMED (China) Ltd,2193534780.268547,Oncology,NCT06584032,Study of Fruquintinib Plus Sintilimab for Treatment of Advanced Endometrial Cancer,RECRUITING,2024-12-12,2029-01-08,412,Advanced Endometrial Cancer,fruquintinib; sintilimab; paclitaxel; doxorubicin,https://clinicaltrials.gov/study/NCT06584032
HCM,HUTCHMED (China) Ltd,2193534780.268547,Oncology,NCT06361888,"A Phase II/III Trial to Evaluate the Efficacy and Safety of Surufatinib Combined With Camrelizumab, Nab-paclitaxel, and Gemcitabine in Metastatic Pancreatic Cancer",RECRUITING,2024-05-08,2028-05-31,502,Metastatic Pancreatic Cancer,"Surufatinib Combined With Camrelizumab, Nab-paclitaxel, and Gemcitabine; Nab-paclitaxel Plus Gemcitabine; Surufatinib with Nab-paclitaxel, and Gemcitabine",https://clinicaltrials.gov/study/NCT06361888
HCM,HUTCHMED (China) Ltd,2193534780.268547,Oncology,NCT06387069,A Study to Evaluate HMPL-306 in Patients With IDH1or IDH2-mutated Acute Myeloid Leukemia,RECRUITING,2024-04-26,2028-12-31,316,Acute Myeloid Leukemia,HMPL-306 Regimen; Salvage Chemotherapy Regimen,https://clinicaltrials.gov/study/NCT06387069
HCM,HUTCHMED (China) Ltd,2193534780.268547,Oncology,NCT05522231,Efficacy and Safety of Fruquintinib in Combination With Sintilimab in Advanced Renal Cell Carcinoma (FRUSICA-2),ACTIVE_NOT_RECRUITING,2022-10-27,2025-01,265,Advanced Renal Cell Carcinoma,fruquintinib+sintilimab; axitinib / everolimus; fruquintinib,https://clinicaltrials.gov/study/NCT05522231
HCM,HUTCHMED (China) Ltd,2193534780.268547,Oncology,NCT04353375,HMPL-453 Tartrate in Advanced Intrahepatic Cholangiocarcinoma,RECRUITING,2020-09-03,2028-06-30,235,"Advanced Intrahepatic Cholangiocarcinoma; Solid Tumor, Adult",HMPL-453,https://clinicaltrials.gov/study/NCT04353375
URGN,UroGen Pharma Ltd.,2334046931.0,Oncology,NCT06774131,A Phase 3 Single-arm Study of UGN-104 for the Treatment of Low-grade Upper Tract Urothelial Cancer,RECRUITING,2025-08-06,2027-03,70,Upper Urinary Tract Urothelial Carcinoma; Urothelial Carcinoma,UGN-104,https://clinicaltrials.gov/study/NCT06774131
URGN,UroGen Pharma Ltd.,2334046931.0,Oncology,NCT06331299,A Phase 3 Study of UGN-103 for Treatment of Patients With Low-grade Intermediate-risk Non-muscle Invasive Bladder Cancer,ACTIVE_NOT_RECRUITING,2024-08-29,2025-09-11,99,Bladder Cancer; Urothelial Carcinoma; Urothelial Carcinoma Bladder,UGN-103,https://clinicaltrials.gov/study/NCT06331299
URGN,UroGen Pharma Ltd.,2334046931.0,Oncology,NCT05243550,A Phase 3 Single-Arm Study of UGN-102 for Treatment of Low-Grade Intermediate-Risk Non-Muscle Invasive Bladder Cancer,ACTIVE_NOT_RECRUITING,2022-03-01,2023-04-26,240,Bladder Cancer; Urothelial Carcinoma; Urothelial Carcinoma Bladder,UGN-102,https://clinicaltrials.gov/study/NCT05243550
PBH,Prestige Consumer Healthcare Inc.,2392887026.703438,Oncology,NCT03390686,"A Trial to Compare the Efficacy, Safety, Pharmacokinetics and Immunogenicity of HD204 to Avastin® in Advanced Non-squamous Non-small Cell Lung Cancer Patients",ACTIVE_NOT_RECRUITING,2019-11-15,2024-07-01,650,Lung Cancer; Non-small Cell Lung Cancer,Bevacizumab; HD204; Carboplatin; Paclitaxel,https://clinicaltrials.gov/study/NCT03390686
BCRX,BIOCRYST PHARMACEUTICALS INC,2458247680.856328,Allergy,NCT05453968,Berotralstat Treatment in Children With Hereditary Angioedema,ACTIVE_NOT_RECRUITING,2022-10-25,2024-09-11,29,Hereditary Angioedema; Pediatric,Berotralstat,https://clinicaltrials.gov/study/NCT05453968
BCRX,BIOCRYST PHARMACEUTICALS INC,2458247680.856328,Allergy,NCT04933721,Open-label Berotralstat Access to HAE Patients Previously Enrolled in Berotralstat Studies,ENROLLING_BY_INVITATION,2021-07-23,2031-08,139,Hereditary Angioedema; HAE,berotralstat,https://clinicaltrials.gov/study/NCT04933721
NUVB,Nuvation Bio Inc.,2459618287.347865,Oncology,NCT07712757,Safety and Efficacy Study of Safusidenib in Participants With Grade 2 IDH1-Mutant Glioma,NOT_YET_RECRUITING,2027-03,2029-05,140,Grade 2 Glioma (Astrocytoma or Oligodendroglioma) With an IDH1 Mutation; Astrocytoma IDH Mutant Grade 2; Oligodendroglioma; Oligodendroglioma IDH-mutant and 1p/19q-codeleted; IDH-mutant Gliomas,Safusidenib; Placebo,https://clinicaltrials.gov/study/NCT07712757
NUVB,Nuvation Bio Inc.,2459618287.347865,Oncology,NCT07154706,Phase 3 Study of Taletrectinib vs Placebo as an Adjuvant Therapy in ROS1 Positive NSCLC (TRUST-IV),RECRUITING,2025-08-21,2030-08-30,180,Non-small Cell Lung Cancer (NSCLC),Taletrectinib; Placebo,https://clinicaltrials.gov/study/NCT07154706
NUVB,Nuvation Bio Inc.,2459618287.347865,Oncology,NCT06564324,A Phase III Study Comparing Taletrectinib With Standard Therapy in ROS1 Positive Locally Advanced or Metastatic Non-small Cell Lung Cancer Patients,RECRUITING,2024-11-27,2029-01,194,Non Small Cell Lung Cancer,Taletrectinib; Crizotinib,https://clinicaltrials.gov/study/NCT06564324
NUVB,Nuvation Bio Inc.,2459618287.347865,Oncology,NCT05303519,SIGMA (Safusidenib in IDH1 Mutant Glioma Maintenance),RECRUITING,2023-06-05,2028-12-01,365,"Glioma; Astrocytoma, Grade IV; IDH1-mutant Glioma; Astrocytoma, IDH-Mutant, Grade 3; Astrocytoma, IDH-Mutant, Grade 4; Astrocytoma, IDH-Mutant, Grade 2; Oligodendroglioma; Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",safusidenib; Placebo,https://clinicaltrials.gov/study/NCT05303519
WGS,GeneDx Holdings Corp.,2474972613.8821793,Oncology,NCT06472245,Trial of Therapeutic Cancer Vaccine OSE2101 in Patients With Non-Small Cell Lung Cancer and Secondary Resistance to Immune Checkpoint Inhibitor,RECRUITING,2024-12-03,2027-12-15,363,Patients With Non-Small Cell Lung Cancer,OSE2101; Docetaxel; NGS HLAA2 assay,https://clinicaltrials.gov/study/NCT06472245
NKTR,NEKTAR THERAPEUTICS,2513948554.443466,Allergy,NCT07711418,A Phase 3 Study of Rezpegaldesleukin (NKTR-358) for Patients ≥ 12 Years of Age With Moderate-to-Severe Atopic Dermatitis,RECRUITING,2026-08,2028-06,510,Moderate-to-Severe Atopic Dermatitis,Rezpegaldesleukin; Placebo,https://clinicaltrials.gov/study/NCT07711418
NKTR,NEKTAR THERAPEUTICS,2513948554.443466,Allergy,NCT07690371,A Phase 3 Study of Rezpegaldesleukin (NKTR-358) for Patients ≥ 12 Years of Age With Moderate-to-Severe Atopic Dermatitis,RECRUITING,2026-06-29,2028-05,510,Moderate-to-Severe Atopic Dermatitis,Rezpegaldesleukin; Placebo,https://clinicaltrials.gov/study/NCT07690371
SLS,"SELLAS Life Sciences Group, Inc.",2725327408.131563,Oncology,NCT04229979,Galinpepimut-S Versus Investigator's Choice of Best Available Therapy for Maintenance in AML CR2/CRp2,ACTIVE_NOT_RECRUITING,2021-02-08,2025-12,127,Acute Myeloid Leukemia,Galinpepimut-S; Azacitidine; Venetoclax; Decitabine; Cytarabine; Observation,https://clinicaltrials.gov/study/NCT04229979
NRIX,"Nurix Therapeutics, Inc.",2778692367.110159,Oncology,NCT07516093,Study of NX-5948 Versus Pirtobrutinib in R/R CLL/SLL,NOT_YET_RECRUITING,2026-06,2029-10,620,B-cell Lymphoma; Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,NX-5948; Pirtobrutinib,https://clinicaltrials.gov/study/NCT07516093
CLDX,"Celldex Therapeutics, Inc.",3153745993.1373444,Allergy,NCT07266402,"A Study to Investigate Efficacy, Safety and Tolerability of Barzolvolimab Versus Placebo in Adults With Cold Induced Urticaria and Symptomatic Dermographism Inadequately Controlled by H1-antihistamines (EMBARQ - ColdU and SD)",RECRUITING,2026-01-15,2028-06,240,Chronic Inducible Urticaria; Cold Urticaria; Cold-Induced Urticaria; Symptomatic Dermographism,Barzolvolimab; Matching Placebo,https://clinicaltrials.gov/study/NCT07266402
